iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.14, port 5002
      Cookie: host115.1472986800.754895.4af5d58326
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 51148 connected to 192.168.110.14 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  73.50-74.00  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  74.00-74.50  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  74.50-75.00  sec   280 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  75.00-75.50  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  75.50-76.00  sec   280 MBytes  4691 Mbits/sec    0   2.38 MBytes       
[  5]  76.00-76.50  sec   279 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  76.50-77.00  sec   280 MBytes  4692 Mbits/sec    0   2.38 MBytes       
[  5]  77.00-77.50  sec   280 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  77.50-78.00  sec   279 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  78.00-78.50  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  78.50-79.00  sec   280 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  79.00-79.50  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  79.50-80.00  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  80.00-80.50  sec   280 MBytes  4692 Mbits/sec    0   2.38 MBytes       
[  5]  80.50-81.00  sec   279 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  81.00-81.50  sec   280 MBytes  4696 Mbits/sec    0   2.38 MBytes       
[  5]  81.50-82.00  sec   279 MBytes  4687 Mbits/sec    0   2.38 MBytes       
[  5]  82.00-82.50  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  82.50-83.00  sec   279 MBytes  4688 Mbits/sec    0   2.38 MBytes       
[  5]  83.00-83.50  sec   280 MBytes  4690 Mbits/sec    1   2.38 MBytes       
[  5]  83.50-84.00  sec   279 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  84.00-84.50  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  84.50-85.00  sec   280 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  85.00-85.50  sec   280 MBytes  4691 Mbits/sec    0   2.38 MBytes       
[  5]  85.50-86.00  sec   279 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  86.00-86.50  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  86.50-87.00  sec   279 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  87.00-87.50  sec   280 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  87.50-88.00  sec   279 MBytes  4688 Mbits/sec    0   2.38 MBytes       
[  5]  88.00-88.50  sec   280 MBytes  4692 Mbits/sec    0   2.38 MBytes       
[  5]  88.50-89.00  sec   280 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  89.00-89.50  sec   279 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  89.50-90.00  sec   280 MBytes  4694 Mbits/sec    0   2.38 MBytes       
[  5]  90.00-90.50  sec   279 MBytes  4689 Mbits/sec    0   2.38 MBytes       
[  5]  90.50-91.00  sec   280 MBytes  4693 Mbits/sec    0   2.38 MBytes       
[  5]  91.00-91.50  sec   280 MBytes  4690 Mbits/sec    0   2.38 MBytes       
[  5]  91.50-91.64  sec  75.0 MBytes  4666 Mbits/sec    0   2.38 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
Test Complete. Summary Results:
[ ID] Interval           Transfer     Bandwidth       Retr
[  5]   0.00-91.64  sec  50.0 GBytes  4687 Mbits/sec    2             sender
[  5]   0.00-91.64  sec  50.0 GBytes  4687 Mbits/sec                  receiver
CPU Utilization: local/sender 14.6% (0.1%u/14.5%s), remote/receiver 0.9% (0.1%u/0.9%s)

iperf Done.
