iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.13, port 5002
      Cookie: host115.1472986800.755252.238cf94a18
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 46431 connected to 192.168.110.13 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 268435456000 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  79.00-79.50  sec   101 MBytes  1699 Mbits/sec    0   2.41 MBytes       
[  5]  79.50-80.00  sec   101 MBytes  1688 Mbits/sec    0   2.41 MBytes       
[  5]  80.00-80.50  sec   101 MBytes  1690 Mbits/sec    0   2.41 MBytes       
[  5]  80.50-81.00  sec   101 MBytes  1687 Mbits/sec    0   2.41 MBytes       
[  5]  81.00-81.50  sec   100 MBytes  1685 Mbits/sec    0   2.41 MBytes       
[  5]  81.50-82.00  sec  99.0 MBytes  1661 Mbits/sec    0   2.41 MBytes       
[  5]  82.00-82.50  sec   101 MBytes  1689 Mbits/sec    0   2.41 MBytes       
[  5]  82.50-83.00  sec   100 MBytes  1685 Mbits/sec    0   2.41 MBytes       
[  5]  83.00-83.50  sec   101 MBytes  1697 Mbits/sec    0   2.41 MBytes       
[  5]  83.50-84.00  sec   101 MBytes  1698 Mbits/sec    0   2.41 MBytes       
[  5]  84.00-84.50  sec   102 MBytes  1720 Mbits/sec    0   2.41 MBytes       
[  5]  84.50-85.00  sec   104 MBytes  1739 Mbits/sec    0   2.41 MBytes       
[  5]  85.00-85.50  sec   103 MBytes  1732 Mbits/sec    0   2.41 MBytes       
[  5]  85.50-86.00  sec   103 MBytes  1728 Mbits/sec    0   2.41 MBytes       
[  5]  86.00-86.50  sec   102 MBytes  1704 Mbits/sec    0   2.41 MBytes       
[  5]  86.50-87.00  sec   105 MBytes  1753 Mbits/sec    0   2.41 MBytes       
[  5]  87.00-87.50  sec   103 MBytes  1732 Mbits/sec    0   2.41 MBytes       
[  5]  87.50-88.00  sec  99.4 MBytes  1668 Mbits/sec    0   2.41 MBytes       
[  5]  88.00-88.50  sec  99.8 MBytes  1674 Mbits/sec    0   2.41 MBytes       
[  5]  88.50-89.00  sec  99.2 MBytes  1664 Mbits/sec    0   2.41 MBytes       
[  5]  89.00-89.50  sec   102 MBytes  1705 Mbits/sec    0   2.41 MBytes       
[  5]  89.50-90.00  sec  85.0 MBytes  1425 Mbits/sec    3   1.73 MBytes       
[  5]  90.00-90.50  sec  82.2 MBytes  1378 Mbits/sec    0   1.76 MBytes       
[  5]  90.50-91.00  sec  81.2 MBytes  1362 Mbits/sec    0   1.82 MBytes       
[  5]  91.00-91.50  sec  84.8 MBytes  1423 Mbits/sec    0   1.82 MBytes       
[  5]  91.50-92.00  sec   126 MBytes  2119 Mbits/sec    0   2.05 MBytes       
[  5]  92.00-92.50  sec   145 MBytes  2425 Mbits/sec    0   2.11 MBytes       
[  5]  92.50-93.00  sec   146 MBytes  2447 Mbits/sec    0   2.16 MBytes       
[  5]  93.00-93.50  sec   147 MBytes  2467 Mbits/sec    0   2.21 MBytes       
[  5]  93.50-94.00  sec   147 MBytes  2473 Mbits/sec    0   2.25 MBytes       
[  5]  94.00-94.50  sec   150 MBytes  2523 Mbits/sec    0   2.28 MBytes       
[  5]  94.50-95.00  sec   151 MBytes  2533 Mbits/sec    0   2.31 MBytes       
[  5]  95.00-95.50  sec   152 MBytes  2550 Mbits/sec    0   2.34 MBytes       
[  5]  95.50-96.00  sec   152 MBytes  2544 Mbits/sec    0   2.35 MBytes       
[  5]  96.00-96.50  sec   149 MBytes  2494 Mbits/sec    0   2.37 MBytes       
[  5]  96.50-97.00  sec   148 MBytes  2484 Mbits/sec    0   2.38 MBytes       
[  5]  97.00-97.50  sec   147 MBytes  2467 Mbits/sec    0   2.39 MBytes       
[  5]  97.50-98.00  sec   146 MBytes  2453 Mbits/sec    0   2.40 MBytes       
[  5]  98.00-98.50  sec   139 MBytes  2338 Mbits/sec   26   1.70 MBytes       
[  5]  98.50-99.00  sec   115 MBytes  1922 Mbits/sec    0   1.75 MBytes       
[  5]  99.00-99.50  sec   115 MBytes  1927 Mbits/sec    0   1.80 MBytes       
[  5]  99.50-100.00 sec   116 MBytes  1940 Mbits/sec    0   1.85 MBytes       
[  5] 100.00-100.50 sec   117 MBytes  1958 Mbits/sec    0   1.89 MBytes       
[  5] 100.50-101.00 sec   119 MBytes  2001 Mbits/sec    0   1.92 MBytes       
[  5] 101.00-101.50 sec   123 MBytes  2058 Mbits/sec    0   1.95 MBytes       
[  5] 101.50-102.00 sec   125 MBytes  2089 Mbits/sec    0   1.97 MBytes       
[  5] 102.00-102.50 sec   119 MBytes  2005 Mbits/sec    0   1.99 MBytes       
[  5] 102.50-103.00 sec   116 MBytes  1938 Mbits/sec    0   2.01 MBytes       
[  5] 103.00-103.50 sec   118 MBytes  1978 Mbits/sec    0   2.02 MBytes       
[  5] 103.50-104.00 sec   122 MBytes  2053 Mbits/sec    0   2.03 MBytes       
[  5] 104.00-104.50 sec   122 MBytes  2055 Mbits/sec    0   2.04 MBytes       
[  5] 104.50-105.00 sec   123 MBytes  2059 Mbits/sec    0   2.04 MBytes       
[  5] 105.00-105.50 sec   124 MBytes  2075 Mbits/sec    0   2.04 MBytes       
[  5] 105.50-106.00 sec   122 MBytes  2051 Mbits/sec    0   2.05 MBytes       
[  5] 106.00-106.50 sec   131 MBytes  2194 Mbits/sec    0   2.05 MBytes       
