iperf 3.1.3
Linux host106 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 12:30:00 GMT
Connecting to host 192.168.110.3, port 5001
      Cookie: host106.1473078600.180767.5edff65f79
      TCP MSS: 1448 (default)
[  5] local 192.168.110.6 port 51589 connected to 192.168.110.3 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  91.00-91.50  sec   261 MBytes  4380 Mbits/sec    0   2.59 MBytes       
[  5]  91.50-92.00  sec   264 MBytes  4437 Mbits/sec    0   2.59 MBytes       
[  5]  92.00-92.50  sec   265 MBytes  4444 Mbits/sec    0   2.59 MBytes       
[  5]  92.50-93.00  sec   265 MBytes  4445 Mbits/sec    0   2.59 MBytes       
[  5]  93.00-93.50  sec   268 MBytes  4489 Mbits/sec    0   2.59 MBytes       
[  5]  93.50-94.00  sec   268 MBytes  4504 Mbits/sec    0   2.59 MBytes       
[  5]  94.00-94.50  sec   271 MBytes  4539 Mbits/sec    0   2.59 MBytes       
[  5]  94.50-95.00  sec   271 MBytes  4546 Mbits/sec    0   2.59 MBytes       
[  5]  95.00-95.50  sec   271 MBytes  4540 Mbits/sec    0   2.59 MBytes       
[  5]  95.50-96.00  sec   270 MBytes  4528 Mbits/sec    0   2.59 MBytes       
[  5]  96.00-96.50  sec   269 MBytes  4519 Mbits/sec    0   2.59 MBytes       
[  5]  96.50-96.83  sec   178 MBytes  4503 Mbits/sec    0   2.59 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
Test Complete. Summary Results:
[ ID] Interval           Transfer     Bandwidth       Retr
[  5]   0.00-96.83  sec  50.0 GBytes  4436 Mbits/sec    0             sender
[  5]   0.00-96.83  sec  50.0 GBytes  4435 Mbits/sec                  receiver
CPU Utilization: local/sender 12.9% (0.2%u/12.7%s), remote/receiver 0.3% (0.0%u/0.3%s)

iperf Done.
